date,close,open,high,low,volume,change
2018年9月18日,666.7,643,668,642.22,3.79M,3.23%
2018年9月17日,645.81,645,652.96,641.06,2.91M,0.45%
2018年9月14日,642.9,633.98,649.78,628.53,4.09M,1.73%
2018年9月13日,631.98,638,642,620,4.77M,0.31%
2018年9月12日,630,643,644.87,628.01,4.12M,-2.48%
2018年9月11日,646,645.57,650.97,640.63,1.95M,0.19%
2018年9月10日,644.8,652.2,653.81,640.7,2.12M,-0.95%
2018年9月7日,650.97,645.5,658.03,645.14,2.92M,1.08%
2018年9月6日,644,652,659.26,640,4.24M,-2.10%
2018年9月5日,657.79,675,676.99,657,2.90M,-2.56%
2018年9月4日,675.04,666.8,676,661.6,2.15M,1.33%
2018年9月3日,666.21,652,667.67,650.8,3.02M,1.06%
2018年8月31日,659.19,676.25,677,656.5,5.90M,-3.12%
2018年8月30日,680.4,688.21,692.6,679.01,3.38M,-0.79%
2018年8月29日,685.85,682,688.88,679.1,2.74M,0.71%
2018年8月28日,681,693,693.78,678.55,3.25M,-0.92%
2018年8月27日,687.3,662,687.3,662,4.80M,4.09%
2018年8月24日,660.3,669,669,656.46,2.61M,-1.48%
2018年8月23日,670.21,671.7,678.5,665.18,2.74M,0.38%
2018年8月22日,667.7,671,673.2,663,2.07M,-0.56%
2018年8月21日,671.49,647,672.3,647,5.22M,4.14%
2018年8月20日,644.79,632.45,645.55,616.86,4.89M,1.56%
2018年8月17日,634.86,657.5,657.5,630.01,4.66M,-2.09%
2018年8月16日,648.44,652,668.5,640,5.99M,-2.17%
2018年8月15日,662.8,679.8,680,661,3.50M,-2.55%
2018年8月14日,680.13,679.22,684.5,673.51,2.17M,0.13%
2018年8月13日,679.22,683,683,666.68,3.46M,-1.16%
2018年8月10日,687.18,691.88,694.77,684.2,2.38M,-0.68%
2018年8月9日,691.88,671,694.5,670.12,3.45M,2.32%
2018年8月8日,676.22,687.02,689,671.87,2.97M,-1.47%
2018年8月7日,686.28,672.3,687.83,662.02,3.91M,2.48%
2018年8月6日,669.68,677,684,662.25,4.52M,-1.37%
2018年8月3日,678.99,695,695,676.2,4.73M,-2.42%
2018年8月2日,695.84,715.97,715.97,687.88,5.50M,-2.67%
2018年8月1日,714.94,731.4,732.3,714.11,2.52M,-1.58%
2018年7月31日,726.44,720.3,727.88,719.21,2.07M,1.01%
2018年7月30日,719.21,738.9,740.66,715,4.22M,-2.62%
2018年7月27日,738.56,736,744.3,730,2.09M,0.40%
2018年7月26日,735.62,748.9,748.9,734.23,2.31M,-1.10%
2018年7月25日,743.81,746.95,749.88,740.01,2.17M,-0.21%
2018年7月24日,745.4,732.68,747.3,723,4.18M,1.82%
2018年7月23日,732.07,736,741.15,720.01,3.60M,-1.22%
2018年7月20日,741.13,741.5,743.13,728,3.05M,0.02%
2018年7月19日,740.95,739,743.95,735.02,1.81M,0.48%
2018年7月18日,737.44,742.43,749.69,735,2.45M,-0.67%
2018年7月17日,742.43,757,757,736.02,2.78M,-1.62%
2018年7月16日,754.68,752.3,764.11,751.03,3.25M,1.03%
2018年7月13日,746.99,742.3,748.1,735.12,2.89M,1.28%
2018年7月12日,737.54,718,741.17,718,4.02M,2.50%
2018年7月11日,719.58,710,724,702.22,2.43M,-0.85%
2018年7月10日,725.76,729,731.5,713.33,2.90M,-0.20%
2018年7月9日,727.24,720.03,729.86,719.73,4.06M,1.84%
2018年7月6日,714.12,707,720.93,699.26,4.42M,1.67%
2018年7月5日,702.39,700,716.2,700,4.71M,1.66%
2018年7月4日,690.91,692,700,688,3.80M,-0.58%
2018年7月3日,694.92,709.76,715.78,678.23,8.28M,-2.34%
2018年7月2日,711.55,734.52,739.33,703,3.76M,-2.72%
2018年6月29日,731.46,712.3,732.3,705,3.29M,2.89%
2018年6月28日,710.93,714,719,697,5.08M,-1.59%
2018年6月27日,722.44,752,757,721,5.73M,-4.29%
2018年6月26日,754.8,765.31,769.88,747,4.66M,-1.41%
2018年6月25日,765.56,766,778.97,764.9,3.29M,-0.13%
2018年6月22日,766.53,754,767,750,2.89M,0.95%
2018年6月21日,759.32,765.22,778.89,758.77,3.92M,-0.56%
2018年6月20日,763.59,741,765,741,4.58M,3.47%
2018年6月19日,738,769,769,737,6.02M,-4.57%
2018年6月15日,773.33,773.2,778.58,769.1,3.17M,-1.63%
2018年6月14日,786.13,790,793.8,775.18,3.62M,-0.53%
2018年6月13日,790.33,800,802.62,788.88,3.52M,-1.11%
2018年6月12日,799.19,778,803.5,776.5,5.53M,3.02%
